"SUID","AverageShortestPathLength","BetweennessCentrality","ClosenessCentrality","ClusteringCoefficient","Degree","Eccentricity","IsSingleNode","name","NeighborhoodConnectivity","NumberOfDirectedEdges","NumberOfUndirectedEdges","PartnerOfMultiEdgedNodePairs","Radiality","selected","SelfLoops","shared name","Stress","TopologicalCoefficient"
"849","3.88204456","1.47E-6","0.25759622","0.93333333","10","9","false","TFDP1","18.6","10","0","0","0.75982962","false","0","TFDP1","6","0.372"
"856","3.88335518","0.0","0.25750928","1.0","9","9","false","E2F2","20.0","9","0","0","0.7597204","false","0","E2F2","0","0.4"
"878","5.81913499","2.41E-6","0.17184685","0.8","6","10","false","RASSF3","6.33333333","6","0","0","0.59840542","false","0","RASSF3","6","0.63333333"
"879","5.81913499","2.69E-6","0.17184685","0.8","6","10","false","RASSF4","6.33333333","6","0","0","0.59840542","false","0","RASSF4","6","0.63333333"
"881","5.81913499","8.6E-6","0.17184685","0.6","6","10","false","RASSF9","5.83333333","6","0","0","0.59840542","false","0","RASSF9","12","0.58333333"
"883","5.81913499","2.69E-6","0.17184685","0.8","6","10","false","RASSF2","6.33333333","6","0","0","0.59840542","false","0","RASSF2","6","0.63333333"
"885","5.82175623","6.9E-7","0.17176947","0.83333333","4","10","false","RASSF6","7.0","4","0","0","0.59818698","false","0","RASSF6","2","0.7"
"887","4.82699869","0.01690482","0.20716807","0.4","10","9","false","RASSF7","5.0","10","0","0","0.68108344","false","0","RASSF7","91488","0.35714286"
"889","4.836173","0.00129686","0.20677507","0.66666667","3","9","false","PARD3","7.66666667","3","0","0","0.68031892","false","0","PARD3","13064","0.54761905"
"891","3.84927916","0.02590445","0.2597889","0.38095238","7","8","false","TP53BP2","21.57142857","7","0","0","0.76256007","false","0","TP53BP2","143684","0.22470238"
"893","5.82175623","0.0","0.17176947","1.0","4","10","false","RASSF5","7.0","4","0","0","0.59818698","false","0","RASSF5","0","0.7"
"904","4.83748362","0.0","0.20671905","1.0","2","9","false","PPP1R13B","8.5","2","0","0","0.6802097","false","0","PPP1R13B","0","0.60714286"
"909","5.81913499","4.3E-6","0.17184685","0.73333333","6","10","false","RASSF10","6.0","6","0","0","0.59840542","false","0","RASSF10","8","0.6"
"921","4.44954128","1.9118E-4","0.22474227","0.8","6","9","false","PTGDS","11.5","6","0","0","0.71253823","false","0","PTGDS","1874","0.34848485"
"922","3.56225426","0.01557897","0.28072112","0.38769231","26","8","false","IL1B","18.61538462","26","0","0","0.78647881","false","0","IL1B","165364","0.12750263"
"924","4.79816514","0.0","0.208413","1.0","4","9","false","PTGIS","8.25","4","0","0","0.68348624","false","0","PTGIS","0","0.58928571"
"926","4.79685452","8.6E-7","0.20846995","0.9","5","9","false","PTGES2","8.8","5","0","0","0.68359546","false","0","PTGES2","2","0.62857143"
"928","4.44692005","3.878E-4","0.22487474","0.64285714","8","9","false","PTGES","12.5","8","0","0","0.71275666","false","0","PTGES","3756","0.37878788"
